Race ID,Year,Race Name,Avg pit stop time (ms)
331,1990,Belgian Grand Prix,\N
332,1990,Italian Grand Prix,\N
333,1990,Portuguese Grand Prix,\N
334,1990,Spanish Grand Prix,\N
335,1990,Japanese Grand Prix,\N
336,1990,Australian Grand Prix,\N
337,2010,Bahrain Grand Prix,\N
338,2010,Australian Grand Prix,\N
339,2010,Malaysian Grand Prix,\N
340,2010,Chinese Grand Prix,\N
341,2010,Spanish Grand Prix,\N
342,2010,Monaco Grand Prix,\N
343,2010,Turkish Grand Prix,\N
344,2010,Canadian Grand Prix,\N
345,2010,European Grand Prix,\N
346,2010,British Grand Prix,\N
347,2010,German Grand Prix,\N
348,2010,Hungarian Grand Prix,\N
349,2010,Belgian Grand Prix,\N
350,2010,Italian Grand Prix,\N
351,2010,Singapore Grand Prix,\N
352,2010,Japanese Grand Prix,\N
353,2010,Korean Grand Prix,\N
354,2010,Brazilian Grand Prix,\N
355,2010,Abu Dhabi Grand Prix,\N
356,1989,Brazilian Grand Prix,\N
357,1989,San Marino Grand Prix,\N
358,1989,Monaco Grand Prix,\N
359,1989,Mexican Grand Prix,\N
360,1989,United States Grand Prix,\N
361,1989,Canadian Grand Prix,\N
362,1989,French Grand Prix,\N
363,1989,British Grand Prix,\N
364,1989,German Grand Prix,\N
365,1989,Hungarian Grand Prix,\N
366,1989,Belgian Grand Prix,\N
367,1989,Italian Grand Prix,\N
368,1989,Portuguese Grand Prix,\N
369,1989,Spanish Grand Prix,\N
370,1989,Japanese Grand Prix,\N
371,1989,Australian Grand Prix,\N
372,1988,Brazilian Grand Prix,\N
373,1988,San Marino Grand Prix,\N
374,1988,Monaco Grand Prix,\N
375,1988,Mexican Grand Prix,\N
376,1988,Canadian Grand Prix,\N
377,1988,Detroit Grand Prix,\N
378,1988,French Grand Prix,\N
379,1988,British Grand Prix,\N
380,1988,German Grand Prix,\N
381,1988,Hungarian Grand Prix,\N
382,1988,Belgian Grand Prix,\N
383,1988,Italian Grand Prix,\N
384,1988,Portuguese Grand Prix,\N
385,1988,Spanish Grand Prix,\N
386,1988,Japanese Grand Prix,\N
387,1988,Australian Grand Prix,\N
388,1987,Brazilian Grand Prix,\N
389,1987,San Marino Grand Prix,\N
390,1987,Belgian Grand Prix,\N
391,1987,Monaco Grand Prix,\N
392,1987,Detroit Grand Prix,\N
393,1987,French Grand Prix,\N
394,1987,British Grand Prix,\N
395,1987,German Grand Prix,\N
396,1987,Hungarian Grand Prix,\N
397,1987,Austrian Grand Prix,\N
398,1987,Italian Grand Prix,\N
399,1987,Portuguese Grand Prix,\N
400,1987,Spanish Grand Prix,\N
401,1987,Mexican Grand Prix,\N
402,1987,Japanese Grand Prix,\N
403,1987,Australian Grand Prix,\N
404,1986,Brazilian Grand Prix,\N
405,1986,Spanish Grand Prix,\N
406,1986,San Marino Grand Prix,\N
407,1986,Monaco Grand Prix,\N
